overall_rates,status,title,date,position,location,pros,cons
4,Current Employee,Easy job,30-Mar-22, Cashier ,None,a positive is that the shifts go quick,"very busy, especially on weekends"
2,Former Employee,Not the best,06-Apr-22, Retail Sales Assistant ,None,No pros to think of.,Horrible management at Canary Wharf
4,"Former Employee, less than 1 year",Good perks,01-Apr-22, Anonymous Employee ,None,"They pay well, good employee discounts","Bad hours, always so busy"
5,Current Employee,Good company to work for,20-Mar-22, Sales Associate ,None,"Staff are well looked after, good rewards",Rotas can be changed at little notice
3,Current Employee,love the team,03-Mar-22, Anonymous Employee ,None,"my team is so welcoming and inviting, some help, some dont but that is just life.",overtime is not optional but you get paid for it
2,"Former Employee, less than 1 year",Okay but stressful,24-Feb-22, Sales Associate,"London, England",Competitive pay  £9 per hour. Developed customer service skills.,The work environment was always fast and draining.
1,"Current Employee, less than 1 year",Zara,15-Oct-21, Sales Associate ,None,Sometimes they’ll change the shift for you instead of you having to find someone to swap with.,"They are not understanding to students; universities are open to changing their timetable due to different reasons but when you let the managers know they just tell you to find someone to swap with but they make this impossible as most of the staff are reluctant to do so. During my first month of working due to language barriers I was wrongly trained, there was miscommunication and people said different things. The atmosphere as well is very hard to be comfortable in as most of the workers are European. They place workers that are European on a pedestal and make others feel lower."
5,Current Employee,GREAT COMPANY,22-Mar-22, Anonymous Employee ,None,"Good pay, Great discount Different cultures",Long hours Rude customers Extremely busy during weekends
3,"Former Employee, less than 1 year",Zara sales assistant,22-Mar-22, Anonymous Employee ,None,Nice environment although a little clicky at first,Inflexible and long unsociable hours
5,"Former Employee, less than 1 year",Loves working here,17-Mar-22, Sales Associate,"London, England",Good place to work and gain experience,Limited growing involved to be honest
2,"Former Employee, less than 1 year",Temporary job,14-Mar-22, Anonymous Employee ,None,Easy to get a job there,Worst management (specially big stores)
4,"Current Employee, more than 3 years",..,22-Mar-22, Cashier,"Belfast, Northern Ireland",Fun fun fun fun fun,Nothing nothing nothing nothing nothing
4,"Former Employee, less than 1 year",Alright for a temporary place,03-Feb-22, Sales Assistant,"London, England",If your a cashier then you get commission and extra pay during bank holidays which is a win,"You're essentially a slave to the higher ups, pray that you get a nice manager."
4,Current Employee,N/A,16-Mar-22, Marketing Assistant ,None,Great team spirit and managerial support,"Pressure, Organization of tasks and Effortless staff"
1,"Former Employee, more than 3 years",you work like a slave,30-Mar-22, Sales Associate ,None,there are no pros of working here,"honestly so many, but the most important are that you work like slave and everyone speak Spanish so if you don't know thevlanguage you're left out"
3,Current Employee,Good,17-Mar-22, Sales Assistant ,None,Discount Staff benefits Lunch and break,Always on feet Pressure Rude customers
2,"Current Employee, less than 1 year",Just ok job if your part time,02-Feb-22, Retail Sales Associate,"London, England",25 % discount but just for 2.500 pounds a year,Horrible hours if your a full time... you spend your hole life at work
4,"Former Employee, more than 1 year",Good retail work,09-Mar-22, Anonymous Employee ,None,"Fun environment, commission added to base.",Nothing really stands out. Standard retail role.
4,"Former Employee, more than 3 years",overall good place to work,05-Feb-22, Sales Assistant,"Stratford, London, England","decent salary with possibility to progress into managerial roles good technology to process stock good brake facility, kitchen, snacks, free fruit",sometimes can be very busy and stressfull fast pace
3,Current Employee,Not for the feint hearted,31-Jan-22, Department Manager,"London, England",Progression & development Fast paced environment Good experience in handling diversve situations and managing a big team,Poor organisation Biased towards spanish people being the more highly appreciated Poor pay for workload
4,Former Employee,Part time sales assistant,09-Mar-22, Retail Sales Associate ,None,Fair pay and colleges are friendly,Maybe always be busy working
3,"Former Employee, more than 5 years",good company to start,11-Feb-22, Cashier,"London, England",great company for progression and to start your carreer,stressfull enviroment depends in which store you are based
4,Current Employee,working,04-Mar-22, Sales Assistant ,None,"teamwork, customers, experience, people, enviromnet","managment, flexibility, time managment, too many people In and out"
2,Current Employee,part-time job,10-Feb-22, Retail Sales Associate,"London, England",Good payment compared to other retail stores like H&M etc. Monthly incentive Christmas voucher,Terrible management They don't treat staff very well so there's a very big rotation because of that
1,"Current Employee, less than 1 year",Never again,03-Apr-22, Stockroom Assistant,"London, England",No pros at all do not work here.,Managers are horrible. Expect too much
3,Current Employee,Review,06-Mar-22, Stockroom Assistant,"London, England",The other people working there are friendly.,The store was always very busy
4,"Former Employee, less than 1 year",Great place,10-Feb-22, Sales Assistant ,None,Zara is quite chill and easy to work at,It can get a bit boring. You stand on your feet all day as well.
2,"Former Employee, less than 1 year",Only for the tough skinned,14-Nov-20, Sales Assistant,"London, England",Pay that's what keeps people working there even though they want to quit Discount Free fruits Environment can be good depends on what location you work in Lucky if you meet nice people,"Cliquey coworkers who think it's fun to talk about you in their language because they ""think"" you won't understand what they are saying. Rude managers who talk about their employees negatively, overwork them and don't appreciate or acknowledge when employees are work above and beyond. Discriminatory  if I went on you would be shocked to hear the rest. Always understaffed Sometimes you won't get a breakbecause its so busy and you can't leave the shopfloor unattended. Ladies wear employees are always jealous of menswear employees and take their anger out on them  because menswear is supposedly ""never busy"". Claim that you don't even do that much and that you ""have it easy because your in menswear"" even though you've been sweating running back and forth from the stockroom to the shopfloor all day because your a nice person and actually want to help customers. Employees complaining about their job all the time and making new employees feel uncomfortableunwelcome. If you don't like your job, no one forced you to stay don't make others feel uncomfortable. Everyone is so moody because everyone is overworked. Even though its a tough job, it's not that bad if you have nice coworkers."
3,"Former Employee, less than 1 year",Would reccomend,11-Jan-22, Retail Sales Associate ,None,Really nice staff Feels like a family Good pay,All staff speak Spanish so it’s a bit intimidating when you don’t Don’t allow you to work overtime Breaks are not long enough 20 mins for 6 hour shift
5,"Current Employee, less than 1 year",Good,28-Feb-22, Sales Representative ,None,Discount is very good for me,Long hours all week :)
5,Former Employee,Great company,23-Feb-22, Procurement Officer ,None,great colleagues ok management environment,low salary not so great on wellbeing
4,Former Employee,Nice Environment,01-Mar-22, Sales Associate ,None,Bonus and Uniform very nice,Sometimes very Busy but fascinating
5,"Current Employee, more than 10 years",A,15-Feb-22, Sales Assistant ,None,Fun progress ambitions creativity team work,Pressure problem solving communication punctuality
4,"Current Employee, less than 1 year",Good Job,28-Feb-22, Sales Assistant,"Leeds, England",Enjoyable environment to work in,Not very flexible working hours
2,"Former Employee, more than 3 years",Number not a person,27-Jan-22, Visual Merchandiser,"Gatwick, England",Staff discount Team Flexibility Never boring,Treated like a number. You will only progress in the company if you are friends with the area managers
5,"Former Employee, more than 1 year",Good part-time work,20-Jan-22, Sales Associate,"Glasgow, Scotland",Management are flexible with hours around uni and bonus was usually good.,"Busy shifts, cashing up can sometimes take a long time after shift"
4,"Former Employee, more than 1 year",fun,22-Feb-22, Shop Assistant,"Oxford, England",nice environment discounts meet new people,"not flexible work hours, stressful, tiresome"
2,"Former Employee, more than 1 year",Worst job ever,30-Jan-22, Sales Assistant,"London, England",Lovely people to work with,Bad Management Pay is only £9.40 You have to stay longer all the time
5,"Former Employee, more than 1 year","good place to work, good money",20-Jan-22, Sales Associate,"Glasgow, Scotland","money was good, always have something to do","it can get stressful, especially when sale is on"
3,"Current Employee, more than 3 years",Not worth it,31-Jan-22, Cashier,"Birmingham, England",Colleagues getting you through the shifts,"Management and organisation of the roles, not having enough staffs"
5,Former Employee,Heh,10-Feb-22, Administrative Assistant,"Birmingham, England",Good and fun to work,Bad long hours to work
5,Former Employee,sales assistant,23-Jan-22, Sales Associate,"Victoria, England","working in Zara was a great experience, learnt many skills","due to covid, they had to terminate fixedterm employees"
4,Former Employee,Experience,02-Feb-22, Sales Assistant ,None,"Team environment, communication, customer service, people","Management was poor, new people day in day out"
5,"Current Employee, more than 8 years",Great,31-Jan-22, Anonymous Employee ,None,Was great enjoyed the experience,No cons for here they were a great company
1,"Former Employee, more than 1 year",Bad,03-Apr-22, Retail Sales Associate ,None,Don’t work here it’s not good,Not that many to list
4,Current Employee,Management,06-Feb-22, Sales Assistant,"Manchester, England",Care for their staff members,There is no commission for staff
3,"Current Employee, less than 1 year",London,05-Feb-22, Sales Associate,"London, England",Fun with people in zara,"Very Busy everyday, stand a long time"
3,"Former Employee, more than 1 year",commercial,27-Jan-22, Commercial,"London, England",Good company to learn in fashion,Stress and a lot of responsabilities
1,Current Employee,Horrible,22-Mar-22, Sales Assistant ,None,Colleagues are everything  good colleagues makes it survivable,"Everything else is a con, everything"
5,"Current Employee, less than 1 year",Fast paced and fill on,13-Dec-21, Sales Associate/Cashier ,None,25% Discount! Paid break times are good too.,"Very fast paced, impatient customers will try to ruin your day but don’t let them!"
2,"Current Employee, more than 1 year",Not the best,28-Jan-22, Sales Assistant,"Leicester, England",A fairly decent discount for staff,"Overwork you, Unstructured and extremely demanding"
3,"Former Employee, less than 1 year",Okay - for the short term,17-Jan-22, Sales Associate ,None, Discount  Welcoming  decent for students, no room for progression  language barriers
3,"Current Employee, more than 1 year",Extremely unhealthy environment,03-Apr-21, Sales Assistant,"London, England","Depending on the store your experience working at Zara will change a lot, in some stores the management it's really nice and easygoing, demanding but respectful. With the opportunity of making good friends and grow easily. The interview to get in is really easy, it's a good place to get your first job in the UK if you need t get something quick and your English is not very good.","In some other stores the working environment is incredibly toxic, special mention to Covent Garden store and the onlySpanish management team (Begoña, Nuria, Fran and Ester), not only rude with the employees but as well with the customers, very unprofessional, speaking Spanish in front of colleges and customers, not caring about customer service at all and in general very fake and twofaced people. They treat you like a naughty kid at school. Treating sales assistants as disposable beings, stepping and making pressure on them to leave if they don't like them."
4,Former Employee,Stressful,14-Jan-22, Sales Associate,"Lincoln, England",Employees were nice and welcoming,"It was very stressful, we didn’t get enough time to complete our tasks"
5,Former Employee,Good,20-Jan-22, Anonymous Employee ,None,very good working environment in the store,a lot of working hours involved
4,"Former Employee, more than 1 year",Ok job,19-Jan-22, Stock Assistant ,None,Available shifts and flexible hours,Not much career progression here
2,"Current Employee, less than 1 year",Work,17-Jan-22, Sales Assistant ,None,Currently working here so can’t judge yet,Working here so far so let’s see how it goes
3,"Former Employee, more than 3 years",The employees are just a number,29-Oct-21, Sales Associate ,None,The team Learning a bit from everything Employee discount Christmas voucher,Too much pressure on the sales assistants Poor management Slow progression Salary Careless about their employees mental health
3,"Former Employee, less than 1 year",Alright but limited,18-Jan-22, Graphic Designer ,None,"Good working ethics, a few over working times.",Limited space for graphic development.
4,"Former Employee, more than 1 year",Salary good,19-Jan-22, Sale Associate,"London, England",Good school for sales associates.,Very busy environment. Not very flexible.
4,Current Employee,Zara work,19-Jan-22, Bookseller,"Nottingham, England",Good team work till now,A lot of work till now
1,"Former Employee, less than 1 year",Great company to shop now work,17-Feb-22, Administrative Assistant ,None,Great company to shop but not work. Good to work as a part time while at university,No progression at all unfortunately
5,"Former Employee, less than 1 year",Good place to work,28-Nov-21, Sales Assistant,"Romford, England", the working environment is very clean and organised.  the team u work with are extremely nice and supportive.  they pay is good., breaks were short  called in on days I had off
1,"Former Employee, less than 1 year",Not worth it,13-Mar-22, Sales Assosiates ,None,Time management and learning skills,Unreasonable work hours and expectations
3,Current Employee,good service,17-Jan-22, Sales Assistant ,None,answer to the application quickly,Prefer available employees for atleast 20h
3,Former Employee,working at zara,09-Jan-22, Sales Assistant ,None, menswear was calm compared to womens, a lot on your feet
1,"Former Employee, more than 1 year",Bad experience,14-Oct-21, Sales Assistant,"London, England",The best thing of working in Zara are definitely the colleagues.,"Very stressful environment, the management is very bad. They do not know how organise the team and this affect also to the customers as most of the times the complaints i had to deal with were because of the management. Also most of the customers think they are shopping in a luxury brand and they want a special customer service which we cannot do it as we have a lot of customers all the time."
4,Current Employee,-,13-Jan-22, Marketing Specialist,"Leeds, England",Good company nice people and such,Overtime gets paid as regular pay
2,Former Employee,xxx,19-Jan-22, Cashier ,None,great place to work definitely,"difficult shift patterns, and customers"
1,"Former Employee, less than 1 year",Zara,14-Feb-22, Anonymous Employee ,None,I personally did not find pros in working at Zara,Not organised Could not plan life outside work Physically and mentally exhausting Frustration in working for fast fashion
3,"Current Employee, more than 1 year",ZARA Sales Assistant,06-Jan-22, Retail Sales Assistant,"London, England",25% discount for clothes (even on sales),Rude bosses and very busy enviroment
4,"Current Employee, more than 1 year",Amazing experience that make you strong has hell,17-Dec-21, Commercial Manager,"London, England",Discount Sick pay internal growth,attitude from some managers and superiors change of rotars last minute work load
2,Former Employee,Not great,28-Dec-21, Sales Assistant ,None,good staff discount and extra shifts,"No support or guidance, overwork staff, poor communication from managers"
3,"Former Employee, more than 3 years","Floor moves, delivery launch",15-Dec-21, Visual Merchandiser,"Gateshead, England","Look after you, good Maternity package","Workload is hectic, no customer focus"
2,"Former Employee, more than 1 year","Good money, poor work life balance",23-Oct-21, Stockroom Assistant,"London, England",Good hourly pay Staff discount,"Poor work life balance Management team poor communication skills, treat staff differently and with little respect."
3,"Former Employee, more than 1 year",Sales assistant,06-Dec-21, Sales Associate,"London, England",25% staff discount which you can use on sale,Volume of customers and constantly short staffed
4,Former Employee,Working at Zara,07-Dec-21, Cashier,"Greenhithe, England",The money is good per hour and the discount,working long hours can sometimes not be great when you do not get paid for your breaks
4,"Current Employee, less than 1 year",Good time,05-Jan-22, Sales Associate,"London, England",Really nice colleagues Opportunity to grow,Sometimes can be stressful No enough staff
4,"Current Employee, less than 1 year",Good,26-Dec-21, Sales Assistant,"London, England","The bonuses, the travel, bein able to change location",Central london is very busy. And expensive
3,"Former Employee, less than 1 year",Zara Sales assistant shop floor,05-Dec-21, Retail Sales Assistant,"Norwich, England","Good regular shifts, good breaks and nice people","Long shifts, super early starts and late finishes, no parking / extremely expensive parking"
2,Current Employee,Okay,05-Jan-22, Cashier ,None,It is face passed environment,StAff can be very rude
5,"Former Employee, less than 1 year",Fast Paced Environment,11-Oct-21, Sales Assistant,"Bristol, England",Always something to do. Great team work. Great benefits (25% discount at all Inditex stores) Learn quickly.,Extremely busy. Always on your feet  if you slow down you will fall behind schedule very quickly. Customers can be quite aggressive during busy times. Store is always messy which slows down your work.
2,"Current Employee, less than 1 year",Zara,10-Dec-21, Sales Associate,"London, England",Good reason to work the discount,It’s hard and annoying . Some managers are not able to do good their job forgetting everything
3,Current Employee,Mental health,28-Dec-21, Cabin Crew,"Glasgow, Scotland",Good colleagues and good discount,Managers can be very rude
4,"Former Employee, more than 1 year",Good working environment,02-Dec-21, Shop Assistant,"London, England","Culture, colleagues, discounts, customers, shift pattern","Managers, short breaks, apart from that good in general"
1,"Former Employee, more than 1 year",Zara experience,21-Feb-22, Sales Associate/Cashier,"London, England",I can’t find nothing positive,Worst management ever Customer really rude
3,"Former Employee, more than 1 year",Busy environment,15-Dec-21, Sales Associate ,None, commition  friendly colleagues  25% discount of inditex companies, always overworking  uniforms could be better
3,Current Employee,Too much pressure,16-Dec-21, Sales Assistant,"Reading, England","Good place, good customers, salary is ok","Negligible training, too much work pressure, understaffed"
4,"Current Employee, less than 1 year",Zara,29-Oct-21, Sales Assistant,"Glasgow, Scotland",Good coworkers When you don't understand something they try to help,Sometimes they don't speak nicely to you Too much pressure
5,"Current Employee, less than 1 year",Good working place,09-Dec-21, Sales Representative,"London, England",Good working hours and bonus,Management can often be difficult and lately promotion really hard
1,"Former Employee, more than 1 year",Bad,11-Feb-22, Sales Assistant ,None,There's no pro working there,Long working hours Poor management No work life balance Do not recommend
3,"Former Employee, less than 1 year",Hectic and Demanding,29-Nov-21, Front End Cashier,"West Thurrock, England",Good place to start your retail career and build your customer facing skills.,"Long hours, always on your feet, no real benefits."
1,"Current Employee, more than 3 years",The most demanding and exhausting job,06-Aug-21, Department Manager ,None,"Discount , uniform allowance and that is all","Always short of staff , you do job for at least 3 persons. Everything is always rushed , lots of pressure."
3,"Former Employee, more than 3 years",It is okay as a temporary job,16-Nov-21, Sales Assistant,"London, England",Pension scheme Holidays Before lockdown they would give free fruit,"Working on bank holidays Terrible management Not enough people, therefore is very stressful Customers can be rude"
3,"Current Employee, more than 1 year",Not good in general,07-Dec-21, Sales Assistant ,None,Unfortunately not many but having a pay check.,Very poor environment and very bad shifts.
4,Current Employee,Working at Zara,06-Dec-21, Sales Assistant,"Manchester, England", Staff Discount  Working alongside clothes, Very repetitive  No interaction with customers
1,"Former Employee, more than 1 year",Terrible management,05-Feb-22, Sales Assistant,"Leeds, England",Only discount other than that None,"Managers are lazy, stores are badly run"
5,"Former Employee, less than 1 year",Best job ever!,25-Oct-21, Sales Assistant ,None,"Such a lovely group of people to work with, often very busy which I personally really enjoyed. Managers so accommodating and the pay was amazing alongside the discount!",Hours contracted are quite a lot!
4,"Current Employee, more than 5 years",Zara is not for the light hearted!,15-Jun-21, Sales Assistant ,None,Pay is alright Decent service award holidays increases with longer service years Xmas voucher April bonus (you have to be with the company for 2 years),"Don't work full time unless you are ready to kiss your social life goodbye. Work shoes (worth 100 quid) but is the worse and super uncomfortable, especially when working 8hrs shift (work shoes should feel like Asics shoes)."
5,Current Employee,Good,12-Dec-21, Sale Associate,"London, England",Flexible and good income peaceful,Stress free android smart covid
5,"Current Employee, more than 3 years",Good,30-Nov-21, Anonymous Employee ,None,The best job i love working wit indetex,There is no cons for me everything is perfect
4,Former Employee,great,12-Dec-21, Anonymous Employee ,None,"great place, values are great",the pay is not so great
5,"Current Employee, less than 1 year",Assistant,08-Dec-21, Sales Assistant,"Maidstone, England","Great atmosphere, easy work, nice .",Nothing bad to say about Zara.
2,Current Employee,Average,17-Nov-21, Sales Assistant,"London, England",Good if you need a part time job while in studies. Get some cash quick.,Annoying managers who think they own the brand.
5,Former Employee,Glad to work here,20-Nov-21, Sales Representative,"London, England",working enviroment is great! Colleagues are lovely to help.,Customer is out of control. Folding clothes is never end
5,"Current Employee, less than 1 year",great,05-Dec-21, Anonymous Employee ,None,a Very pleasant work experience,Everything went well without any drawbacks
5,Current Employee,zara,28-Nov-21, Sales Assistant,"London, England",amazing work atmosphere and networking with other people,can get hectic as its retail
3,Current Employee,Alright,08-Dec-21, Sales Assistant,"Leeds, England",Pay Monthly incentive 20 min paid break,Understaffed Long hours High turnover of staff
5,"Former Employee, less than 1 year",General review,02-Dec-21, Sale Assistant,"London, England",You can get staff discount,It gets very busy sometimes
3,"Current Employee, more than 3 years",Easy to get job,18-Nov-21, Sales Assistant ,None,Good job for students and those who want to work in retail.,Difficult to work in sales
5,"Current Employee, less than 1 year",Nice,02-Dec-21, Manager,"London, England",50% discount for the employee,Night shift a bit hard
2,Former Employee,Zara sales assistant,24-Nov-21, Anonymous Employee ,None,"Fastpaced, good as a temporary job",Extremely busy during sales; at times very tiring
3,"Former Employee, less than 1 year",nice,28-Nov-21, Sales Assistant ,None,staff are friendly and pay well,sometimes too much work on weekends
5,"Current Employee, less than 1 year",Zara current employee,19-Oct-21, Sales Assistant,"Watford, East of England, England",calm environment and polite employees really enjoyed everyday I worked here,usually constant flow of customers so you need to be on your toes moving around at all times
2,"Former Employee, less than 1 year",Fast paced and relentless,13-Oct-21, Stock Associate,"London, England",Fast recruitment process Staff discount,Unfriendly and unhelpful colleagues feeling out of place if you don't speak spanish work load (it's nonstop) no training high staff turnover
5,Current Employee,good,26-Nov-21, Lecturer,"Middleton, Greater Manchester, North West England, England","good salary, good environment, work","not friendly, so much pressure"
2,"Current Employee, less than 1 year",average,21-Nov-21, Sales,"London, England",15 per cent discount 0n all items,long working hours and no career development
4,"Former Employee, less than 1 year","Good Place, hard work",12-Nov-21, Sales Assistant,"Leeds, England","Good team, good discounts for staff",Busy environment to work. Facing difficult clients
2,"Former Employee, less than 1 year",Not so great,05-Nov-21, Part Time Sales Assistant,"London, England","respect of lunch time, sick leave","managers, uniform, environment, too messy, no client service"
5,"Current Employee, less than 1 year",good place to work,08-Aug-21, Sales Associate,"Watford, East Midlands, England","very good management team, very organised hours, fixed pay, fair staff, no extra hours or good staff discount, even on sale items.","crazy/rude customers, must have lots of patience and resilience to work at zara. short breaks, lot of things to do in a short period of time sometimes."
3,"Former Employee, more than 1 year",oka,08-Nov-21, Sales Associate,"Manchester, England",okay nice co workers and okay pay,super stressful and overhwmemling all the time no support from manger
2,Former Employee,Missing the human side,02-Nov-21, General Manager,"London, England",Stability and good pay with benefits as discounts and monthly bonuses,Profit focused not taking care of employees
1,"Former Employee, more than 1 year",Avoid Zara!!,07-Sep-21, Sales Associate,"Manchester, England",The salary is better than most retailers,"Terrible company to work for they don't care about you at all! You are over worked, expected to complete too many tasks with no time to do them while also serving thousands of customers"
5,Current Employee,Very good,15-Nov-21, Sales Associate,"London, England",All all all all all,None none none none none
4,"Current Employee, more than 3 years",It’s ok,07-Nov-21, Visual Merchandiser,"London, England",Nice team and discount break lunch time shift,Nice team as a friend
3,Former Employee,cool,16-Nov-21, Retail Sales Associate,"London, England","clothes, social, fun, team, mall","people, rude, hours, boring, never again."
4,Current Employee,great,07-Nov-21, Anonymous Employee ,None,great team and benefits and discounts,there was lots of pressure to do well
2,Current Employee,Not the greatest,07-Nov-21, Sales Assistant,"West Thurrock, England",Discount was good Collegues were nice,Poor management Very very tiring
5,"Former Employee, less than 1 year","Great company, I loved it",12-Oct-21, Anonymous Employee ,None,great company to work with,the only con is late shift
3,"Current Employee, more than 5 years",Good environment and great opportunity to learn,30-Sep-21, Cashiers,"London, England",Great opportunity to learn and development. Friendly team,"Unsociable shifts Very demanding , you must have a strong personality and love your job"
5,Current Employee,manager,26-Oct-21, Manager,"London, England",food for free all day long,long hours and boring on feet
4,"Former Employee, more than 1 year",Retail,05-Aug-21, Cashier ,None,I met some of the best people I know. Discount 25% off everything (2.5k a year) 5 weeks holiday Easy to progress,Very overworked Sometimes try to get away with not paying overtime Surprised at how hard a simple position is Called all the time (in this particular Zara)
3,"Former Employee, less than 1 year",Fast paced,14-Oct-21, Cashier,"Leeds, England",Great little side job during student days,Working long hours on busy occasions like Boxing Day
3,Former Employee,Zara,23-Oct-21, Sales Assistant,"Bristol, England",Busy with lots to do,Poor management and lack of communication
2,"Former Employee, more than 1 year",Sales assistant,17-Aug-21, Sales Representative,"London, England","International environment,friendly colleagues,work clothes,employee discounts","Very intense working hours,very busy environment,not flexible schedule,over hours,lack of support"
3,Current Employee,Its ok,24-Oct-21, Sales Assistant,"London, England",Found best friends in there,Bad management They don’t care for employees
5,Current Employee,good,04-Oct-21, Sales Associate,"London, England",excellent envirnmemt to work in and the staff is super friendly,no comissions but at least they compensate with different bonuses
3,Current Employee,.,14-Oct-21, Sales Assistant,"Leicester, England",Most of the Team members were lovely,Work environment No consideration for employees wellbeing High turnover of staff
4,Former Employee,Great,20-Oct-21, Retail Sales Associate ,None,Met very good people to work with,Always busy in the store
3,Current Employee,.,20-Oct-21, Sales Associate ,None,Good company to work for,Very busy and fast paced can get stressful
3,Former Employee,Ok,04-Oct-21, Anonymous Employee ,None,"Clothes, discount, team, salary, some benefits","Heavy work load, loads of tasks at once, bad customer service"
3,Former Employee,Interview,12-Sep-21, Sales Assistant ,None,They asked me why I want to work at zara and availablity only,Didn’t ask any more because they were desperate. If working at busy stores I recommend doing part time.
3,"Former Employee, less than 1 year",OK,11-Oct-21, Sales Assistant,"London, England","They offer discounts for employees,","The managers are not very friendly, but I don't blame them"
5,"Former Employee, less than 1 year",Friendly Environment,05-Oct-21, Sales Associate ,None,Friendly environment and team Good Pay especially for students,Need knowledge in technology Need customer service skills Handling disputes
3,"Former Employee, more than 3 years",toxic environment,19-Oct-21, Sale Assistant,"London, England",decent salary for working in retail,toxic environment and super stressful
3,"Former Employee, more than 1 year","overloaded with work, most managers sucked",31-Mar-21, Sales Associate/Cashier,"Reading, England","Some customers were nice, a few good managers, flexible rota, staff discount","managers mostly sucked, were rude and sarcastic when asked questions......"
2,Former Employee,Poor Management,12-Aug-21, Anonymous Employee,"London, England",Staff discount on all Inditex brands,"20 minute break, minimum wage, poor communication between managers. Treated like a robot rather than a human, no understanding of emotions etc."
3,Current Employee,zara,30-Sep-21, Sales Associate,"Norwich, England",good pay and good discount.,unfriendly workplace. lots of overtime. have to give 2 months notice for any time off.
5,"Current Employee, more than 3 years",Good company but very busy job,16-Jul-21, Cashier,"London, England",The company gives you the opportunity to learn,"too many things to do, the more you give to the customers the more they want from you and so they are always understaffed"
5,"Current Employee, more than 1 year",Cashier,24-Sep-21, Sales Associate/Cashier,"London, England",Good team to be around Great managers Good support around when your new,Sometimes it takes a lot to deal with customers
5,Former Employee,great,12-Oct-21, Anonymous Employee,"Birmingham, England",good money and people yeah,was hard to book time off
1,"Current Employee, less than 1 year",Don’t work for Zara,03-Nov-21, Retail Sales Associate ,None,They pay £8.90 to £10 p/h,Makes you work double for every penny they pay you. After one shift you need about 23 days to recover
3,"Current Employee, more than 1 year",Depends on the store,17-Aug-21, Sales Assistant ,None,The benefits are okay in comparison with many other retailers. I was very lucky to find a great team.,Unrealistic expectations and pressure. It's very easy to end up feeling completely burnt out. The hours are very long.
1,"Former Employee, less than 1 year",Unpleasant,21-Nov-21, Cashier ,None,"Supportive shop floor team, good team work","Difficult managers, they expect us to be machines"
5,"Current Employee, more than 3 years",Great atmosphere,14-Sep-21, Sales Associate,"London, England",Great and friendly place and diverse,Long hours with low especially in busy stores in London
4,"Former Employee, more than 3 years",Great job,07-Sep-21, Sales Associate ,None, Nice to work with people that are similar ages  Great to work parttime as a student, stressful for no reason  ITS JUST CLOTHES!
2,Former Employee,meh,13-Oct-21, Sales Assistant ,None,"made new friends, employee discount","tiring, busy, rude staff, too much work"
4,"Current Employee, less than 1 year",Hard work poor work environment,17-Sep-21, Sales Assistant,"London, England",Good pay Experience in fast paced environment,Poor working environment which was not favourable for new employees closed net environment
5,"Former Employee, more than 1 year",Sales Assistant,13-Sep-21, Anonymous Employee ,None,"Decent pay, really good team, and great manager! Very quick at getting back to me after interview.","None, really enjoyed my time there."
3,"Former Employee, more than 1 year",Thankfull for the opportunity but .....,01-Mar-21, Cashier,"Manchester, England",I am thankfully for the opportunity and how much I learned .,"The environment can be toxic , people being people I guess , the managers can be extremely rude towards staff and it's clear how replaceable you are."
1,Former Employee,Terrible,08-Dec-21, Lalalalala ,None,None very bad not good,Extremely terrible not work here plase
4,"Current Employee, less than 1 year",Good,05-Oct-21, Sales Assistant,"Milton Keynes, England",Decent people and pay absolutely wonderful environment,Personally haven’t experienced any yet
3,Current Employee,Okay just for part time,25-Jun-21, Sales Assistant ,None,This type of job is good if you're studying in either college or uni or need some extra money on the side,They expect you to know how to do everything without give you any training. Make sure your voice is heard
3,Current Employee,Good and bad,16-Aug-21, Sales,"London, England","good clothes, good people that work with you are always busy and can get lots of overtime","just a number to them, don't really care about their staff. staff turnover is high"
4,"Former Employee, more than 1 year",Good,30-Sep-21, Stock Associate ,None,Flexible shifts and easy technology,Too many customers at once
3,Current Employee,Good company to learn about retail,16-Aug-21, Floor Manager ,None,Staff discount Nice team members Flexible shifts Multiple roles and learning opportunities,"Long shifts and late closing, understaffed store, poor top management, not trained HR responsible"
2,Former Employee,Student role,28-Sep-21, Anonymous Employee,"Manchester, England",Good pay for the store,Temporary staff treatment could be improved
5,"Current Employee, more than 3 years",Good,17-Sep-21, Sales Assistant,"Birmingham, England",Friendly and good wage. Room to work up,A lot of work and effort
3,"Current Employee, more than 3 years",Too much work,09-Jul-21, Retail Sales Assistant,"London, England",25% discount..and that s it,Uniform is horrible..way too big ..and u do the work for 23 people in the same time..and we never leave in time at the end of the shift..managers look down on u if u don t stay to do unpaid overtime..
5,Current Employee,Good,16-Sep-21, Shop Assistant,"London, England",Amazing team and good pay,I don’t have any cons for this
5,"Former Employee, more than 3 years",Great,16-Aug-21, Anonymous Employee ,None,Great team of people great working hours with decent pay,can be early start but you are made aware of this before you start your position
3,Current Employee,Was only there for a short time,09-Aug-21, Retail Sales Associate,"Leicester, England",they had fruit bowls which were nice during break times,hours wasn't very flexible considering I was still a full time student at the time
3,Former Employee,Sales Assistant,18-Sep-21, Sales Advisor,"Houston, TX",Discount clothes nice team t,Stress hours long shift managers
